26_IDEN;26_NAM
"0002110000000";"Trier, kfr. St."
"0003390000000";Mainz-Bingen
"0003380000000";Rhein-Pfalz-Kreis
"0003370000000";Südliche Weinstraße
"0001410000000";Rhein-Lahn-Kreis
"0001400000000";Rhein-Hunsrück-Kreis
"0002350000000";Trier-Saarburg
"0002330000000";Vulkaneifel
"0002320000000";Eifelkr.Bitburg-Prüm
"0001110000000";"Koblenz, kfr. St."
"0002310000000";Bernkastel-Wittlich
"0003140000000";"Ludwigshafen, kfr.St"
"0003200000000";"Zweibrücken, kfr. St"
"0003130000000";Landau i.d.Pf.kfr.St
"0003120000000";"Kaiserslautern,kfr.S"
"0003110000000";Frankenthal (Pfalz)
"0001380000000";Neuwied
"0001370000000";Mayen-Koblenz
"0001430000000";Westerwaldkreis
"0003360000000";Kusel
"0003350000000";Kaiserslautern
"0001350000000";Cochem-Zell
"0001340000000";Birkenfeld
"0003340000000";Germersheim
"0003400000000";Südwestpfalz
"0001330000000";Bad Kreuznach
"0003330000000";Donnersbergkreis
"0003320000000";Bad Dürkheim
"0001320000000";Altenkirchen (Ww)
"0003310000000";Alzey-Worms
"0001310000000";Ahrweiler
"0003190000000";"Worms, kfr. St."
"0003180000000";"Speyer, kfr. St."
"0003170000000";"Pirmasens, kfr. St."
"0003160000000";Neustadt a.d.W.kfr.S
"0003150000000";"Mainz, kfr. St."
