26_IDEN;26_NAM
"0001340004500";Vfr Idar-Oberstein
"0003380000500";Vfr Böhl-Iggelheim
"0003380000400";Vfr Bobenheim-Roxhei
"0003310000300";Vfr Alzey
"0003130000000";Landau i.d.Pf.kfr.St
"0001370020300";Vfr Bendorf
"0003120000000";"Kaiserslautern,kfr.S"
"0003340000700";Vfr Germersheim
"0003320000200";Vfr Bad Dürkheim
"0001310000700";Vfr Bad Neuenahr-Ahr
"0003380002500";Vfr Schifferstadt
"0003390000500";Vfr Bingen am Rhein
"0001370006800";Vfr Mayen
"0002110000000";"Trier, kfr. St."
"0001410007500";Vfr Lahnstein
"0001310007000";Vfr Remagen
"0003390000900";Vfr Budenheim
"0001310009000";Vfr Grafschaft
"0003320002400";Vfr Grünstadt
"0001400050100";Vfr Boppard
"0001310007700";Vfr Sinzig
"0003140000000";"Ludwigshafen, kfr.St"
"0003180000000";"Speyer, kfr. St."
"0001370000300";Vfr Andernach
"0003170000000";"Pirmasens, kfr. St."
"0001380004500";Vfr Neuwied
"0003320002500";Vfr Haßloch
"0003380001700";Vfr Limburgerhof
"0003380001900";Vfr Mutterstadt
"0003110000000";Frankenthal (Pfalz)
"0003200000000";"Zweibrücken, kfr. St"
"0002320001800";Vfr Bitburg
"0003340050100";Vfr Wörth am Rhein
"0003190000000";"Worms, kfr. St."
"0003160000000";Neustadt a.d.W.kfr.S
"0001110000000";"Koblenz, kfr. St."
"0003390003000";Vfr Ingelheim/Rhein
"0001330000600";Vfr Bad Kreuznach
"0003150000000";"Mainz, kfr. St."
"0002310013400";Vfr Wittlich
"0002310050200";Vfr Morbach
"0001310300000";Bad Breisig
"0001310200000";Altenahr
"0001310100000";Adenau
"0003360800000";Lauterecken-Wolfstei
"0003360900000";Oberes Glantal
"0003340600000";Rülzheim
"0003320500000";Lambrecht (Pfalz)
"0003320600000";Wachenheim a.d.W.
"0003340400000";Kandel
"0003320700000";Leiningerland
"0003340500000";Lingenfeld
"0003350100000";Bruchmühlbach-Miesau
"0003310200000";Eich
"0003310100000";Alzey-Land
"0003350200000";Enkenbach-Alsenborn
"0001430900000";Westerburg
"0003310300000";Monsheim
"0001430700000";Selters (Westerwald)
"0001321000000";Altenkirchen-Flammer
"0001430800000";Wallmerod
"0001430500000";Ransbach-Baumbach
"0003330300000";Göllheim
"0001430600000";Rennerod
"0003330200000";Eisenberg (Pfalz)
"0001430300000";Höhr-Grenzhausen
"0001430400000";Montabaur
"0001430100000";Bad Marienberg (Ww)
"0001430200000";Hachenburg
"0001410300000";Diez
"0003370200000";Bad Bergzabern
"0003370100000";Annweiler am Trifels
"0001410700000";Nastätten
"0001340500000";Herrstein-Rhaunen
"0001320900000";Betzdorf-Gebhardshai
"0001410900000";Loreley
"0001380400000";Linz am Rhein
"0003351000000";Otterbach-Otterberg
"0001320700000";Kirchen (Sieg)
"0001380500000";Puderbach
"0001320800000";Wissen
"0001380700000";Unkel
"0003351100000";Landstuhl
"0001320600000";Hamm (Sieg)
"0003370700000";Offenbach a.d.Queich
"0001380900000";Rengsdorf-Waldbreitb
"0003370600000";Maikammer
"0001350300000";Ulmen
"0001330100000";Bad Kreuznach
"0003370500000";Landau-Land
"0001350200000";Kaisersesch
"0003370400000";Herxheim
"0001350100000";Cochem
"0003370300000";Edenkoben
"0002320600000";Prüm
"0002320500000";Südeifel
"0003390200000";Bodenheim
"0002320800000";Bitburger Land
"0003390100000";Rhein-Nahe
"0002320700000";Speicher
"0002320100000";Arzfeld
"0001370100000";Pellenz
"0003390800000";Sprendlingen-Gens.
"0001370300000";Vordereifel
"0003390700000";Rhein-Selz
"0001370200000";Maifeld
"0003390300000";Gau-Algesheim
"0003390600000";Nieder-Olm
"0001320300000";Daaden-Herdorf
"0003350900000";Weilerbach
"0003350800000";Ramstein-Miesenbach
"0003330700000";Nordpfälzer Land
"0003310600000";Wörrstadt
"0003330600000";Winnweiler
"0003310500000";Wöllstein
"0003330400000";Kirchheimbolanden
"0003310700000";Wonnegau
"0003320100000";Deidesheim
"0003320200000";Freinsheim
"0001331100000";Langenlonsheim-Strom
"0003340200000";Hagenbach
"0001331000000";Nahe-Glan
"0003340300000";Jockgrim
"0003340100000";Bellheim
"0003400900000";Thaleischw.-Wallh.
"0003380100000";Dannstadt-Schauernh.
"0003400800000";Zweibrücken-Land
"0001400300000";Kastellaun
"0003400600000";Waldfischbach-Burg.
"0001350500000";Zell (Mosel)
"0003400400000";Rodalben
"0001330900000";Kirner Land
"0001400400000";Kirchberg (Hunsrück)
"0003400300000";Pirmasens-Land
"0003400200000";Hauenstein
"0003400100000";Dahner Felsenland
"0001330600000";Rüdesheim
"0001400900000";Hunsrück-Mittelrhein
"0003361000000";Kusel-Altenglan
"0001400800000";Simmern-Rheinböllen
"0003380700000";Römerberg-Dudenhofen
"0001370400000";Mendig
"0003380800000";Rheinauen
"0001340100000";Baumholder
"0001370700000";Vallendar
"0002350600000";Schweich a.d.Röm.W.
"0001340200000";Birkenfeld
"0002350700000";Trier-Land
"0003380600000";Lambsheim-Heßheim
"0002330600000";Gerolstein
