26_NAM;26_IDEN
Frankenthal - Mitte;"3353110000010"
Frankenthal - Nord;"3353110000020"
Frankenthal - Ost;"3353110000030"
Frankenthal - Süd;"3353110000040"
Frankenthal - West;"3353110000050"
Frankenthal - Mörsch;"3353110000060"
Frankenthal - Studernheim;"3353110000070"
Frankenthal - Eppstein;"3353110000080"
Frankenthal - Flomersheim;"3353110000090"
Neustadt an der Weinstraße/Oststadt;"4433160000070"
Neustadt an der Weinstraße/Schöntal;"4433160000040"
Neustadt an der Weinstraße/Haardt;"4433160000044"
Neustadt an der Weinstraße/Vorstadt;"4433160000030"
Neustadt an der Weinstraße/Böbig;"4433160000060"
Neustadt an der Weinstraße/Geinsheim;"4433160000022"
Neustadt an der Weinstraße/Hambacher Höhe;"4433160000020"
Neustadt an der Weinstraße/Königsbach;"4433160000066"
Neustadt an der Weinstraße/Diedesfeld;"4433160000011"
Neustadt an der Weinstraße/Gimmeldingen;"4433160000033"
Neustadt an der Weinstraße/Mußbach;"4433160000088"
Neustadt an der Weinstraße/Lachen-Speyerdorf;"4433160000077"
Neustadt an der Weinstraße/Duttweiler;"4433160000099"
Neustadt an der Weinstraße/Hambach;"4433160000055"
Neustadt an der Weinstraße/Winzingen;"4433160000050"
Neustadt an der Weinstraße/Innenstadt;"4433160000010"
Pirmasens;"4483170000021"
Fehrbach;"4483170000023"
Erlenbrunn;"4483170000022"
Windsberg;"4483170000028"
Hengsberg;"4483170000024"
Winzeln;"4483170000026"
Niedersimten;"4483170000025"
Gersbach;"4483170000027"
Obergeckler;"2212320550300"
"Bad Neuenahr-Ahrweiler, Verbandsfreie Gemeinde";"1141310000700"
"Grafschaft, Verbandsfreie Gemeinde";"1141310009000"
Adenau;"1141310100100"
Antweiler;"1141310100400"
Aremberg;"1141310100500"
Barweiler;"1141310100800"
Bauler;"1141310100900"
Dankerath;"1141310101500"
Dorsel;"1141310101800"
Eichenbach;"1141310102100"
Fuchshofen;"1141310102200"
Harscheid;"1141310102600"
Herschbroich;"1141310102800"
Hoffeld;"1141310103000"
Honerath;"1141310103200"
Hümmel;"1141310103300"
Insul;"1141310103400"
Kaltenborn;"1141310103700"
Kottenborn;"1141310104200"
Leimbach;"1141310104400"
Meuspath;"1141310105000"
Müllenbach;"1141310105100"
Müsch;"1141310105200"
Nürburg;"1141310105800"
Ohlenhard;"1141310106200"
Pomster;"1141310106500"
Quiddelbach;"1141310106600"
Reifferscheid;"1141310106900"
Rodder;"1141310107200"
Schuld;"1141310107400"
Senscheid;"1141310107500"
Sierscheid;"1141310107600"
Trierscheid;"1141310107900"
Wershofen;"1141310108200"
Wiesemscheid;"1141310108300"
Wimbach;"1141310108400"
Winnerath;"1141310108500"
Wirft;"1141310108600"
Dümpelfeld;"1141310150100"
Ahrbrück;"1141310200200"
Altenahr;"1141310200300"
Berg;"1141310201100"
Dernau;"1141310201700"
Heckenbach;"1141310202700"
Hönningen;"1141310202900"
Kalenborn;"1141310203600"
Kesseling;"1141310203900"
Kirchsahr;"1141310204000"
Lind;"1141310204700"
Mayschoß;"1141310204900"
Rech;"1141310206800"
Bad Breisig;"1131310300600"
Brohl-Lützing;"1131310301400"
Gönnersdorf;"1131310302500"
Waldorf;"1131310308100"
Dedenbach;"1131310401600"
Königsfeld;"1131310404100"
