26_IDEN;26_NAM
"1140000000000";"Bad Neuenahr-Ahrweiler, Wahlkreis"
"1110000000000";"Andernach, Wahlkreis"
"1100000000000";"Bendorf / Weißenthurm, Wahlkreis"
"2230000000000";Bernkastel-Kues / Morbach / Kirchberg (Hunsrück)
"2240000000000";"Trier / Schweich, Wahlkreis"
"2250000000000";"Trier, Wahlkreis"
"2260000000000";"Konz / Saarburg, Wahlkreis"
"3290000000000";"Mainz III, Wahlkreis"
"3280000000000";"Mainz II, Wahlkreis"
"2200000000000";"Vulkaneifel, Wahlkreis"
"3270000000000";"Mainz I, Wahlkreis"
"4460000000000";"Kaiserslautern-Land, Wahlkreis"
"4470000000000";"Zweibrücken, Wahlkreis"
"2210000000000";"Bitburg-Prüm, Wahlkreis"
"4440000000000";"Kaiserslautern I, Wahlkreis"
"2220000000000";"Wittlich, Wahlkreis"
"4450000000000";"Kaiserslautern II, Wahlkreis"
"4480000000000";"Pirmasens, Wahlkreis"
"4490000000000";"Südliche Weinstraße, Wahlkreis"
"1060000000000";"Montabaur, Wahlkreis"
"1050000000000";"Bad Marienberg (Westerwald) / Westerburg, Wahlkreis"
"1080000000000";"Koblenz / Lahnstein, Wahlkreis"
"1070000000000";"Diez / Nassau, Wahlkreis"
"4420000000000";"Bad Dürkheim, Wahlkreis"
"4430000000000";"Neustadt an der Weinstraße, Wahlkreis"
"1020000000000";"Altenkirchen (Westerwald), Wahlkreis"
"1010000000000";"Betzdorf / Kirchen (Sieg), Wahlkreis"
"4400000000000";"Donnersberg, Wahlkreis"
"4410000000000";"Kusel, Wahlkreis"
"1040000000000";"Neuwied, Wahlkreis"
"1030000000000";"Linz am Rhein / Rengsdorf, Wahlkreis"
"4500000000000";"Landau in der Pfalz, Wahlkreis"
"2160000000000";"Rhein-Hunsrück, Wahlkreis"
"2170000000000";"Bad Kreuznach, Wahlkreis"
"2180000000000";"Kirn / Bad Sobernheim, Wahlkreis"
"4510000000000";"Germersheim, Wahlkreis"
"2190000000000";"Birkenfeld, Wahlkreis"
"4520000000000";"Wörth am Rhein, Wahlkreis"
"3360000000000";"Ludwigshafen am Rhein I, Wahlkreis"
"3350000000000";"Frankenthal (Pfalz), Wahlkreis"
"2150000000000";"Cochem-Zell, Wahlkreis"
"3340000000000";"Alzey, Wahlkreis"
"3330000000000";"Worms, Wahlkreis"
"3390000000000";"Speyer, Wahlkreis"
"3380000000000";"Mutterstadt, Wahlkreis"
"3370000000000";"Ludwigshafen am Rhein II, Wahlkreis"
"1090000000000";"Koblenz, Wahlkreis"
"3320000000000";"Rhein-Selz / Wonnegau, Wahlkreis"
"3310000000000";"Ingelheim am Rhein, Wahlkreis"
"3300000000000";"Bingen am Rhein, Wahlkreis"
"1130000000000";"Remagen / Sinzig, Wahlkreis"
"1120000000000";"Mayen, Wahlkreis"
