26_IDEN;26_NAM
"3393180000000";"Speyer, Kreisfreie Stadt"
"2231400000000";"Rhein-Hunsrück-Kreis, Teilkreis"
"3383380000000";"Rhein-Pfalz-Kreis, Teilkreis"
"3343310000000";"Alzey-Worms, Teilkreis"
"2252110000000";"Trier, Teilkreisfreie Stadt"
"3353110000000";"Frankenthal (Pfalz), Kreisfreie Stadt"
"3373140000000";"Ludwigshafen am Rhein, Teilkreisfreie Stadt"
"1131310000000";"Ahrweiler, Teilkreis"
"4483400000000";"Südwestpfalz, Teilkreis"
"1011320000000";"Altenkirchen (Ww.), Teilkreis"
"4503130000000";"Landau in der Pfalz, Kreisfreie Stadt"
"1081110000000";"Koblenz,Teilkreisfreie Stadt"
"2222310000000";"Bernkastel-Wittlich, Teilkreis"
"2262350000000";"Trier-Saarburg, Teilkreis"
"3313390000000";"Mainz-Bingen, Teilkreis"
"2242350000000";"Trier-Saarburg, TK"
"4473200000000";"Zweibrücken, Kreisfreie Stadt"
"3273150000000";"Mainz, Teilkreisfreie Stadt"
"3293150000000";"Mainz, Teilkreisfreie Stadt"
"1031380000000";"Neuwied, Teilkreis"
"2202330000000";"Vulkaneifel, Landkreis"
"1011430000000";"Westerwaldkreis, Teilkreis"
"1051430000000";"Westerwaldkreis, Teilkreis"
"1111370000000";"Mayen-Koblenz, Teilkreis"
"4413360000000";"Kusel, Landkreis"
"1071410000000";"Rhein-Lahn-Kreis, Teilkreis"
"1091110000000";"Koblenz,Teilkreisfreie Stadt"
"4483170000000";"Pirmasens, Kreisfreie Stadt"
"4493370000000";"Südliche Weinstraße, Teilkreis"
"4493340000000";"Germersheim, Teilkreis"
"4453350000000";"Kaiserslautern, Teilkreis"
"4443120000000";"Kaiserslautern, Teilkreisfreie Stadt"
"3363140000000";"Ludwigshafen am Rhein, Teilkreisfreie Stadt"
"4453320000000";"Bad Dürkheim, Teilkreis"
"4433320000000";"Bad Dürkheim, Teilkreis"
"2171330000000";"Bad Kreuznach, Teilkreis"
"4523340000000";"Germersheim, Teilkreis"
"3353380000000";"Rhein-Pfalz-Kreis, Teilkreis"
"2191340000000";"Birkenfeld, Landkreis"
"4473400000000";"Südwestpfalz, Teilkreis"
"2242110000000";"Trier, Teilkreisfreie Stadt"
"3393380000000";"Rhein-Pfalz-Kreis, Teilkreis"
"2232310000000";"Bernkastel-Wittlich, Teilkreis"
"1101430000000";"Westerwaldkreis, Teilkreis"
"1021320000000";"Altenkirchen (Ww.), Teilkreis"
"3303390000000";"Mainz-Bingen, Teilkreis"
"1141310000000";"Ahrweiler, Teilkreis"
"4503370000000";"Südliche Weinstraße, Teilkreis"
"3323390000000";"Mainz-Bingen, Teilkreis"
"2151350000000";"Cochem-Zell, Landkreis"
"3333190000000";"Worms, Kreisfreie Stadt"
"1121370000000";"Mayen-Koblenz, Teilkreis"
"1041380000000";"Neuwied, Teilkreis"
"2161400000000";"Rhein-Hunsrück-Kreis, Teilkreis"
"3283150000000";"Mainz, Teilkreisfreie Stadt"
"3293390000000";"Mainz-Bingen, Teilkreis"
"2212320000000";Eifelkreis Bitburg-Prüm
"1061430000000";"Westerwaldkreis, Teilkreis"
"4463350000000";"Kaiserslautern, Teilkreis"
"1081410000000";"Rhein-Lahn-Kreis, Teilkreis"
"1101370000000";"Mayen-Koblenz, Teilkreis"
"4433160000000";"Neustadt an der Weinstraße, Kreisfreie Stadt"
"4403330000000";"Donnersbergkreis, Landkreis"
"2181330000000";"Bad Kreuznach, Teilkreis"
"4513370000000";"Südliche Weinestraße, Teilkreis"
"3323310000000";"Alzey-Worms, Teilkreis"
"4453120000000";"Kaiserslautern, Teilkreisfreie Stadt"
"4423320000000";"Bad Dürkheim, Teilkreis"
"4513340000000";"Germersheim, Teilkreis"
