26_IDEN;26_NAM
"2232310100000";"Bernkastel-Kues, VG"
"1051430700000";"Selters (Westerwald), VG"
"1071411100000";"Aar-Einrich, VG"
"1071411000000";"Bad Ems-Nassau, VG"
"1051430200000";"Hachenburg, VG"
"1051430100000";"Bad Marienberg, VG"
"2191340200000";"Birkenfeld, VG"
"2232310600000";"Thalfang am Erbeskopf, VG"
"1141310200000";"Altenahr, VG"
"2191340100000";"Baumholder, VG"
"2212320700000";"Speicher, VG"
"2212320600000";"Prüm, VG"
"4433320100000";"Deidesheim, VG"
"2212320500000";"Südeifel, VG"
"2181330600000";"Rüdesheim, VG"
"3343310600000";"Wörrstadt, VG"
"3343310500000";"Wöllstein, VG"
"3313390600000";"Nieder-Olm, VG"
"2212320800000";"Bitburger Land, VG"
"4423320600000";"Wachenheim an der Weinstraße, VG"
"3343310100000";"Alzey-Land, VG"
"4423320700000";"Leiningerland, VG"
"1101370700000";"Vallendar, VG"
"4423320200000";"Freinsheim, VG"
"1041380300000";"Dierdorf, VG"
"1101370800000";"Weißenthurm, VG"
"1041380500000";"Puderbach, VG"
"2212320100000";"Arzfeld, VG"
"1071410700000";"Nastätten, VG"
"4453350200000";"Enkenbach-Alsenborn, VG"
"4503370600000";"Maikammer, VG"
"1071410300000";"Diez, VG"
"4503370300000";"Edenkoben, VG"
"2231400400000";"Kirchberg (Hunsrück), VG"
"4473400900000";"Thaleischweiler-Wallhalben, VG"
"1131310300000";"Bad Breisig, VG"
"1131310400000";"Brohltal, VG"
"3293390200000";"Bodenheim, VG"
"2242350400000";"Ruwer, VG"
"4473400600000";"Waldfischbach-Burgalben, VG"
"2222310900000";"Traben-Trarbach, VG"
"2222310800000";"Wittlich-Land, VG"
"2242350600000";"Schweich an der Römischen Weinstraße, VG"
"4473400800000";"Zweibrücken-Land, VG"
"4523340300000";"Jockgrim, VG"
"4493370100000";"Annweiler am Trifels, VG"
"4523340600000";"Rülzheim, VG"
"4463351100000";"Landstuhl, VG"
"4493370500000";"Landau-Land, VG"
"4493370400000";"Herxheim, VG"
"1031380700000";"Unkel, VG"
"4523340200000";"Hagenbach, VG"
"2242350700000";"Trier-Land, VG"
"4493370200000";"Bad Bergzabern, VG"
"2151350300000";"Ulmen, VG"
"1031380900000";"Rengsdorf-Waldbreitbach, VG"
"2151350200000";"Kaisersesch, VG"
"2151350100000";"Cochem, VG"
"1111370100000";"Pellenz, VG"
"2181331000000";"Nahe-Glan, VG"
"4403330600000";"Winnweiler, VG"
"4413360800000";"Lauterecken-Wolfstein, VG"
"4403330700000";"Nordpfälzer Land, VG"
"4413360900000";"Oberes Glantal, VG"
"4403330200000";"Eisenberg (Pfalz), VG"
"4403330300000";"Göllheim, VG"
"2191340500000";"Herrstein-Rhaunen, VG"
"4403330400000";"Kirchheimbolanden, VG"
"2161400300000";"Kastellaun, VG"
"2161400900000";"Hunsrück-Mittelrhein, VG"
"2161400800000";"Simmern-Rheinböllen, VG"
"1111370400000";"Mendig, VG"
"1031380400000";"Linz am Rhein, VG"
"4413361000000";"Kusel-Altenglan, VG"
"2202330600000";"Gerolstein, VG"
"2202330400000";"Kelberg, VG"
"1031380100000";"Asbach, VG"
"3323390700000";"Rhein-Selz, VG"
"1031380200000";"Bad Hönningen, VG"
"4463350100000";"Bruchmühlbach-Miesau, VG"
