,Stichtag,Amtlicher Regionalschlüssel (ARS)__Code,Einwohner,Personen unter 18 Jahren,Personen 18 - 29 Jahre,Personen 30 - 49 Jahre,Personen 50 - 64 Jahre,Personen 65 Jahre und älter,Ausländeranteil,Durchschnittliche Haushaltsgröße,Durchschnittliche Nettokaltmiete/qm,Blockheizung,Etagenheizung,Fernheizung,Einzel-/ Mehrraumöfen,keine Heizung,Zentralheizung,Fernwärme,Gas,Holz/Holzpellets,Heizöl,Kohle,Solar/Geothermie/Wärmepumpe,Strom,kein Energieträger,Biomasse/Biogas,Leerstandsquote,Eigentümerquote,Gebäude vor 1919,Gebäude ab 1919 bis 1948,Gebäude ab 1949 bis 1978,Gebäude ab 1979 bis 1990,Gebäude ab 1991 bis 2000,Gebäude ab 2001 bis 2010,Gebäude ab 2011 bis 2019,Gebäude ab 2020 und später,Fläche__qkm,Einwohnerdichte
0,2022-05-15,1002,249132.0,0.151,0.198,0.259,0.19899999999999998,0.193,0.12300000000000001,1.8,7.88,0.008,0.053,0.604,0.005,0.002,0.32799999999999996,0.604,0.32299999999999995,0.004,0.055999999999999994,,0.006999999999999999,0.003,0.002,,0.021,0.251,0.10300000000000001,0.214,0.396,0.121,0.064,0.061,0.036000000000000004,0.004,118.65,2099.7218710493044
1,2022-05-15,1003,215958.0,0.151,0.147,0.24600000000000002,0.223,0.23399999999999999,0.114,1.8,7.56,0.026000000000000002,0.11900000000000001,0.221,0.011000000000000001,0.004,0.618,0.221,0.648,0.006999999999999999,0.10400000000000001,,0.006999999999999999,0.008,0.004,,0.027999999999999997,0.29600000000000004,0.17,0.172,0.39799999999999996,0.07,0.073,0.067,0.043,0.006999999999999999,214.19,1008.2543536112797
2,2022-05-15,1004,79625.0,0.163,0.138,0.242,0.22899999999999998,0.22899999999999998,0.11900000000000001,1.9,6.25,0.005,0.062,0.502,0.009000000000000001,0.003,0.419,0.502,0.406,0.005,0.07,0.001,0.006999999999999999,0.006,0.003,,0.036000000000000004,0.373,0.078,0.142,0.479,0.099,0.10300000000000001,0.051,0.040999999999999995,0.008,71.66,1111.1498744069215
3,2022-05-15,1051,132810.0,0.157,0.122,0.21600000000000003,0.248,0.256,0.067,2.0,6.18,0.018000000000000002,0.048,0.052000000000000005,0.03,0.006,0.845,0.052000000000000005,0.5870000000000001,0.027000000000000003,0.278,,0.025,0.023,0.006,0.001,0.034,0.585,0.161,0.1,0.387,0.11,0.126,0.057,0.046,0.013000000000000001,1428.18,92.99247993950343
4,2022-05-15,1053,203381.0,0.177,0.109,0.244,0.242,0.228,0.08900000000000001,2.1,7.46,0.016,0.05,0.13,0.018000000000000002,0.004,0.7829999999999999,0.13,0.642,0.027000000000000003,0.161,,0.024,0.012,0.004,0.001,0.025,0.513,0.10300000000000001,0.076,0.373,0.121,0.14400000000000002,0.09300000000000001,0.075,0.015,1204.57,168.84116323667368
5,2022-05-15,1054,168489.0,0.156,0.12,0.225,0.248,0.25,0.077,2.0,7.66,0.013999999999999999,0.038,0.115,0.033,0.005,0.794,0.115,0.51,0.021,0.257,,0.052000000000000005,0.036000000000000004,0.005,0.003,0.038,0.5379999999999999,0.134,0.079,0.344,0.11699999999999999,0.132,0.08,0.094,0.02,2083.53,80.86708614706771
6,2022-05-15,1055,200936.0,0.142,0.1,0.215,0.259,0.285,0.065,1.9,7.41,0.02,0.042,0.071,0.040999999999999995,0.006999999999999999,0.818,0.071,0.6629999999999999,0.022000000000000002,0.17800000000000002,,0.021,0.036000000000000004,0.006999999999999999,,0.037000000000000005,0.517,0.109,0.077,0.397,0.13699999999999998,0.122,0.081,0.063,0.013999999999999999,1393.0,144.24694903086862
7,2022-05-15,1056,320275.0,0.171,0.115,0.247,0.242,0.225,0.11699999999999999,2.1,8.29,0.027000000000000003,0.055999999999999994,0.115,0.01,0.002,0.789,0.115,0.713,0.017,0.124,,0.021,0.006999999999999999,0.002,,0.022000000000000002,0.493,0.075,0.07,0.395,0.139,0.129,0.096,0.084,0.013000000000000001,664.27,482.1458142020564
8,2022-05-15,1057,129634.0,0.161,0.098,0.21600000000000003,0.255,0.271,0.049,2.1,6.93,0.018000000000000002,0.03,0.08800000000000001,0.04,0.006999999999999999,0.818,0.08800000000000001,0.55,0.032,0.263,,0.027000000000000003,0.032,0.006999999999999999,0.001,0.027999999999999997,0.5820000000000001,0.105,0.08,0.41,0.11800000000000001,0.141,0.078,0.055999999999999994,0.013000000000000001,1083.57,119.63601797761105
9,2022-05-15,1058,275744.0,0.168,0.111,0.22899999999999998,0.25,0.242,0.06,2.1,6.89,0.027000000000000003,0.052000000000000005,0.124,0.025,0.005,0.767,0.124,0.597,0.033,0.192,,0.027000000000000003,0.02,0.005,0.001,0.025,0.5589999999999999,0.107,0.085,0.377,0.127,0.14800000000000002,0.077,0.064,0.013999999999999999,2189.76,125.92430220663451
