,Stichtag,Amtlicher Regionalschlüssel (ARS)__Code,Einwohner,Personen unter 18 Jahren,Personen 18 - 29 Jahre,Personen 30 - 49 Jahre,Personen 50 - 64 Jahre,Personen 65 Jahre und älter,Ausländeranteil,Durchschnittliche Haushaltsgröße,Durchschnittliche Nettokaltmiete/qm,Blockheizung,Etagenheizung,Fernheizung,Einzel-/ Mehrraumöfen,keine Heizung,Zentralheizung,Fernwärme,Gas,Holz/Holzpellets,Heizöl,Kohle,Solar/Geothermie/Wärmepumpe,Strom,kein Energieträger,Biomasse/Biogas,Leerstandsquote,Eigentümerquote,Gebäude vor 1919,Gebäude ab 1919 bis 1948,Gebäude ab 1949 bis 1978,Gebäude ab 1979 bis 1990,Gebäude ab 1991 bis 2000,Gebäude ab 2001 bis 2010,Gebäude ab 2011 bis 2019,Gebäude ab 2020 und später,Fläche__qkm,Einwohnerdichte
0,2022-05-15,1002,249132.0,37558.0,49312.0,64618.0,49654.0,47996.0,30577.0,1.8,7.88,1137.0,7338.0,83712.0,677.0,325.0,45409.0,83712.0,44830.0,561.0,7701.0,28.0,1017.0,424.0,325.0,8.0,2.1,25.1,3953.0,8173.0,15153.0,4645.0,2456.0,2327.0,1373.0,165.0,118.65,2099.7218710493044
1,2022-05-15,1003,215958.0,32502.0,31798.0,53097.0,48054.0,50508.0,24516.0,1.8,7.56,3172.0,14440.0,26834.0,1363.0,437.0,74943.0,26834.0,78571.0,865.0,12576.0,27.0,893.0,964.0,437.0,24.0,2.8,29.6,7783.0,7875.0,18167.0,3199.0,3312.0,3046.0,1960.0,322.0,214.19,1008.2543536112797
2,2022-05-15,1004,79625.0,12962.0,11007.0,19236.0,18198.0,18225.0,9486.0,1.9,6.25,226.0,2603.0,21065.0,363.0,129.0,17618.0,21065.0,17059.0,229.0,2949.0,21.0,304.0,245.0,129.0,3.0,3.6,37.3,1542.0,2796.0,9437.0,1944.0,2035.0,996.0,799.0,165.0,71.66,1111.1498744069215
3,2022-05-15,1051,132810.0,20903.0,16173.0,28710.0,33001.0,34020.0,8928.0,2.0,6.18,1312.0,3475.0,3778.0,2151.0,444.0,60972.0,3778.0,42375.0,1954.0,20080.0,35.0,1782.0,1644.0,444.0,42.0,3.4,58.5,8465.0,5269.0,20295.0,5787.0,6598.0,2980.0,2403.0,687.0,1428.18,92.99247993950343
4,2022-05-15,1053,203381.0,35921.0,22237.0,49656.0,49265.0,46305.0,18000.0,2.1,7.46,1552.0,4909.0,12845.0,1754.0,354.0,77082.0,12845.0,63191.0,2646.0,15816.0,23.0,2336.0,1167.0,354.0,116.0,2.5,51.3,6302.0,4601.0,22743.0,7367.0,8754.0,5660.0,4572.0,938.0,1204.57,168.84116323667368
5,2022-05-15,1054,168489.0,26304.0,20272.0,37909.0,41793.0,42206.0,13043.0,2.0,7.66,1424.0,3909.0,11840.0,3419.0,551.0,81632.0,11840.0,52407.0,2194.0,26434.0,21.0,5331.0,3716.0,551.0,281.0,3.8,53.8,9286.0,5506.0,23847.0,8091.0,9181.0,5582.0,6543.0,1383.0,2083.53,80.86708614706771
6,2022-05-15,1055,200936.0,28499.0,20162.0,43135.0,51947.0,57197.0,13110.0,1.9,7.41,2423.0,5212.0,8773.0,5044.0,917.0,100614.0,8773.0,81508.0,2731.0,21930.0,44.0,2573.0,4466.0,917.0,41.0,3.7,51.7,7639.0,5357.0,27732.0,9574.0,8543.0,5627.0,4432.0,974.0,1393.0,144.24694903086862
7,2022-05-15,1056,320275.0,54849.0,36797.0,79248.0,77443.0,71938.0,37362.0,2.1,8.29,4248.0,8961.0,18314.0,1592.0,340.0,125465.0,18314.0,113336.0,2700.0,19697.0,23.0,3322.0,1168.0,340.0,21.0,2.2,49.3,6482.0,5982.0,33937.0,11934.0,11091.0,8220.0,7245.0,1126.0,664.27,482.1458142020564
8,2022-05-15,1057,129634.0,20885.0,12649.0,28016.0,33008.0,35075.0,6385.0,2.1,6.93,1243.0,2046.0,6045.0,2764.0,473.0,56464.0,6045.0,37981.0,2211.0,18124.0,10.0,1890.0,2239.0,473.0,66.0,2.8,58.2,4652.0,3580.0,18225.0,5238.0,6280.0,3467.0,2492.0,564.0,1083.57,119.63601797761105
9,2022-05-15,1058,275744.0,46406.0,30524.0,63070.0,69008.0,66732.0,16532.0,2.1,6.89,3750.0,7289.0,17187.0,3404.0,693.0,106581.0,17187.0,82940.0,4519.0,26715.0,50.0,3795.0,2838.0,693.0,166.0,2.5,55.9,9895.0,7918.0,34982.0,11797.0,13776.0,7169.0,5968.0,1268.0,2189.76,125.92430220663451
